competition_group,electric_utility,gas_utility,building_type,time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_1,test_utility_1,single_family,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family,1,0.0,-4999.444444444444,0.0,4999.444444444444,0.0,-199.9555555555553,0.0,199.9555555555553,0.0,-99.93333333333317,0.0,99.93333333333317
refrigeration,test_utility_1,test_utility_1,single_family,2,0.0,-9162.852158780286,0.0,9162.852158780286,0.0,-1163.6152911073464,0.0,1163.6152911073468,0.0,-165.20637908167532,0.0,165.2063790816751
refrigeration,test_utility_1,test_utility_1,single_family,3,0.0,-12631.86197695462,0.0,12631.86197695462,0.0,-2486.8164660925854,0.0,2486.8164660925872,0.0,-479.793509591585,0.0,479.79350959158523
refrigeration,test_utility_1,test_utility_1,single_family,4,0.0,-15522.456344458551,0.0,15522.456344458551,0.0,-3929.1573509781692,0.0,3929.15735097817,0.0,-911.7519296852493,0.0,911.7519296852499
refrigeration,test_utility_1,test_utility_1,single_family,5,0.0,-17931.060535405755,0.0,17931.060535405755,0.0,-5352.936700914266,0.0,5352.936700914267,0.0,-1382.6028621303055,0.0,1382.6028621303058
refrigeration,test_utility_1,test_utility_1,single_family,6,0.0,-19938.025159111196,0.0,19938.025159111203,0.0,-6684.277584853904,0.0,6684.277584853906,0.0,-1847.3941787725848,0.0,1847.3941787725855
refrigeration,test_utility_1,test_utility_1,single_family,7,0.0,-21610.316189205383,0.0,21610.316189205387,0.0,-7888.313539249778,0.0,7888.31353924978,0.0,-2282.0089774577377,0.0,2282.0089774577386
refrigeration,test_utility_1,test_utility_1,single_family,8,0.0,-23003.739403588555,0.0,23003.739403588563,0.0,-8953.428826409252,0.0,8953.428826409252,0.0,-2675.0651938542874,0.0,2675.065193854288
refrigeration,test_utility_1,test_utility_1,single_family,9,0.0,-24164.797140564504,0.0,24164.797140564508,0.0,-9881.335118576664,0.0,9881.335118576666,0.0,-3022.7709025459317,0.0,3022.770902545932
refrigeration,test_utility_1,test_utility_1,single_family,10,0.0,-25132.237999294834,0.0,25132.237999294837,0.0,-10680.899140419682,0.0,10680.899140419684,0.0,-3325.684883680894,0.0,3325.6848836808945
refrigeration,test_utility_1,test_utility_1,single_family,11,0.0,-25938.349219916694,0.0,25938.349219916698,0.0,-11364.369200671003,0.0,11364.369200671003,0.0,-3586.7016719427274,0.0,3586.7016719427284
refrigeration,test_utility_1,test_utility_1,single_family,12,0.0,-26610.03395750007,0.0,26610.033957500076,0.0,-11945.12576188016,0.0,11945.125761880165,0.0,-3809.819714885062,0.0,3809.8197148850627
refrigeration,test_utility_1,test_utility_1,single_family,13,0.0,-27169.709054216535,0.0,27169.70905421654,0.0,-12436.391646952954,0.0,12436.391646952958,0.0,-3999.4070499140876,0.0,3999.4070499140894
refrigeration,test_utility_1,test_utility_1,single_family,14,0.0,-27636.053148706313,0.0,27636.053148706313,0.0,-12850.539157452025,0.0,12850.53915745203,0.0,-4159.780252979792,0.0,4159.780252979794
refrigeration,test_utility_1,test_utility_1,single_family,15,0.0,-28024.63004781223,0.0,28024.63004781223,0.0,-13198.762148889815,0.0,13198.762148889818,0.0,-4294.978248226745,0.0,4294.978248226746
refrigeration,test_utility_1,test_utility_1,single_family,16,0.0,-28348.408150846637,0.0,28348.40815084664,0.0,-13490.965706471228,0.0,13490.965706471226,0.0,-4408.655257375128,0.0,4408.655257375129
refrigeration,test_utility_1,test_utility_1,single_family,17,0.0,-28618.19325690443,0.0,28618.193256904437,0.0,-13735.780634094446,0.0,13735.780634094446,0.0,-4504.04478450199,0.0,4504.04478450199
refrigeration,test_utility_1,test_utility_1,single_family,18,0.0,-28842.989198166968,0.0,28842.989198166975,0.0,-13940.645036925634,0.0,13940.645036925633,0.0,-4583.964345963702,0.0,4583.964345963702
refrigeration,test_utility_1,test_utility_1,single_family,19,0.0,-29030.298334469193,0.0,29030.2983344692,0.0,-14111.91770236715,0.0,14111.917702367147,0.0,-4650.84210293835,0.0,4650.842102938348
refrigeration,test_utility_1,test_utility_1,multifamily_li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,multifamily_li,1,0.0,-300.0,0.0,300.0,0.0,-12.0,0.0,12.0,0.0,-6.0,0.0,6.0
refrigeration,test_utility_1,test_utility_1,multifamily_li,2,0.0,-550.0,0.0,550.0,0.0,-69.84,0.0,69.84,0.0,-9.920000000000002,0.0,9.920000000000002
refrigeration,test_utility_1,test_utility_1,multifamily_li,3,0.0,-758.3333333333333,0.0,758.3333333333333,0.0,-149.29546666666664,0.0,149.29546666666664,0.0,-28.814400000000006,0.0,28.814400000000006
refrigeration,test_utility_1,test_utility_1,multifamily_li,4,0.0,-931.9444444444446,0.0,931.9444444444443,0.0,-235.9285937777777,0.0,235.9285937777777,0.0,-54.76985244444443,0.0,54.76985244444443
refrigeration,test_utility_1,test_utility_1,multifamily_li,5,0.0,-1076.6203703703704,0.0,1076.6203703703702,0.0,-321.46408867555544,0.0,321.46408867555544,0.0,-83.0700073007407,0.0,83.0700073007407
refrigeration,test_utility_1,test_utility_1,multifamily_li,6,0.0,-1197.1836419753083,0.0,1197.1836419753083,0.0,-401.4599329964246,0.0,401.4599329964246,0.0,-111.01160230068143,0.0,111.01160230068143
refrigeration,test_utility_1,test_utility_1,multifamily_li,7,0.0,-1297.6530349794236,0.0,1297.6530349794236,0.0,-473.8177632202154,0.0,473.8177632202154,0.0,-137.14357811216536,0.0,137.14357811216536
refrigeration,test_utility_1,test_utility_1,multifamily_li,8,0.0,-1381.3775291495197,0.0,1381.3775291495197,0.0,-537.8364444671113,0.0,537.8364444671113,0.0,-160.7804693186037,0.0,160.7804693186037
refrigeration,test_utility_1,test_utility_1,multifamily_li,9,0.0,-1451.1479409579333,0.0,1451.1479409579333,0.0,-593.6160652434326,0.0,593.6160652434326,0.0,-181.693238525923,0.0,181.693238525923
refrigeration,test_utility_1,test_utility_1,multifamily_li,10,0.0,-1509.2899507982777,0.0,1509.2899507982777,0.0,-641.6871527853648,0.0,641.6871527853648,0.0,-199.9145813128546,0.0,199.9145813128546
refrigeration,test_utility_1,test_utility_1,multifamily_li,11,0.0,-1557.7416256652316,0.0,1557.7416256652316,0.0,-682.7839316194845,0.0,682.7839316194845,0.0,-215.61780324321916,0.0,215.61780324321916
refrigeration,test_utility_1,test_utility_1,multifamily_li,12,0.0,-1598.118021387693,0.0,1598.118021387693,0.0,-717.7091062689351,0.0,717.7091062689351,0.0,-229.0427509956983,0.0,229.0427509956983
refrigeration,test_utility_1,test_utility_1,multifamily_li,13,0.0,-1631.7650178230776,0.0,1631.7650178230776,0.0,-747.2562863269865,0.0,747.2562863269865,0.0,-240.45164138118545,0.0,240.45164138118545
refrigeration,test_utility_1,test_utility_1,multifamily_li,14,0.0,-1659.8041815192314,0.0,1659.8041815192314,0.0,-772.1682767041441,0.0,772.1682767041441,0.0,-250.10372020014893,0.0,250.10372020014893
refrigeration,test_utility_1,test_utility_1,multifamily_li,15,0.0,-1683.170151266026,0.0,1683.170151266026,0.0,-793.1173043665794,0.0,793.1173043665794,0.0,-258.24163705668707,0.0,258.24163705668707
refrigeration,test_utility_1,test_utility_1,multifamily_li,16,0.0,-1702.6417927216885,0.0,1702.6417927216885,0.0,-810.6983307305029,0.0,810.6983307305029,0.0,-265.0849860930826,0.0,265.0849860930826
refrigeration,test_utility_1,test_utility_1,multifamily_li,17,0.0,-1718.8681606014072,0.0,1718.8681606014072,0.0,-825.4298748642099,0.0,825.4298748642099,0.0,-270.82812137196424,0.0,270.82812137196424
refrigeration,test_utility_1,test_utility_1,multifamily_li,18,0.0,-1732.390133834506,0.0,1732.390133834506,0.0,-837.7588783448515,0.0,837.7588783448515,0.0,-275.6404257889752,0.0,275.6404257889752
refrigeration,test_utility_1,test_utility_1,multifamily_li,19,0.0,-1743.6584448620883,0.0,1743.6584448620883,0.0,-848.067489491054,0.0,848.067489491054,0.0,-279.6679002593182,0.0,279.6679002593182
refrigeration,test_utility_1,test_utility_1,single_family_li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refrigeration,test_utility_1,test_utility_1,single_family_li,1,0.0,-499.44444444444446,0.0,499.44444444444446,0.0,-19.95555555555552,0.0,19.95555555555552,0.0,-9.933333333333337,0.0,9.933333333333337
refrigeration,test_utility_1,test_utility_1,single_family_li,2,0.0,-912.8549212385095,0.0,912.8549212385094,0.0,-116.01557769767987,0.0,116.01557769767993,0.0,-16.406457500843814,0.0,16.406457500843786
refrigeration,test_utility_1,test_utility_1,single_family_li,3,0.0,-1256.869767649595,0.0,1256.869767649595,0.0,-247.3870056988314,0.0,247.3870056988314,0.0,-47.57833977685871,0.0,47.57833977685874
refrigeration,test_utility_1,test_utility_1,single_family_li,4,0.0,-1543.3041776278362,0.0,1543.304177627836,0.0,-390.23583118784694,0.0,390.2358311878468,0.0,-90.20779804608739,0.0,90.20779804608733
refrigeration,test_utility_1,test_utility_1,single_family_li,5,0.0,-1781.7774036585008,0.0,1781.7774036585004,0.0,-530.990114193819,0.0,530.9901141938188,0.0,-136.5610380683283,0.0,136.56103806832823
refrigeration,test_utility_1,test_utility_1,single_family_li,6,0.0,-1980.3017113357212,0.0,1980.3017113357207,0.0,-662.4027812577783,0.0,662.4027812577783,0.0,-182.23439503065026,0.0,182.2343950306502
refrigeration,test_utility_1,test_utility_1,single_family_li,7,0.0,-2145.5611211297132,0.0,2145.5611211297132,0.0,-781.082288607119,0.0,781.082288607119,0.0,-224.87641288432144,0.0,224.8764128843215
refrigeration,test_utility_1,test_utility_1,single_family_li,8,0.0,-2283.12645107992,0.0,2283.12645107992,0.0,-885.9293875570701,0.0,885.9293875570704,0.0,-263.38662850487657,0.0,263.3866285048766
refrigeration,test_utility_1,test_utility_1,single_family_li,9,0.0,-2397.637577458423,0.0,2397.637577458423,0.0,-977.153943655106,0.0,977.1539436551063,0.0,-297.4083681987135,0.0,297.4083681987136
refrigeration,test_utility_1,test_utility_1,single_family_li,10,0.0,-2492.957722008606,0.0,2492.957722008606,0.0,-1055.6643726138502,0.0,1055.6643726138502,0.0,-327.00973828386407,0.0,327.00973828386407
refrigeration,test_utility_1,test_utility_1,single_family_li,11,0.0,-2572.3029868095405,0.0,2572.302986809541,0.0,-1122.6952986385193,0.0,1122.695298638519,0.0,-352.4855122188575,0.0,352.4855122188574
refrigeration,test_utility_1,test_utility_1,single_family_li,12,0.0,-2638.350589652427,0.0,2638.3505896524275,0.0,-1179.5863786493433,0.0,1179.5863786493433,0.0,-374.2363128868222,0.0,374.2363128868222
refrigeration,test_utility_1,test_utility_1,single_family_li,13,0.0,-2693.3291033666815,0.0,2693.329103366682,0.0,-1227.656122951737,0.0,1227.656122951737,0.0,-392.6968445640366,0.0,392.6968445640366
refrigeration,test_utility_1,test_utility_1,single_family_li,14,0.0,-2739.0936206394654,0.0,2739.0936206394654,0.0,-1268.134648368707,0.0,1268.134648368707,0.0,-408.29494948660346,0.0,408.2949494866034
refrigeration,test_utility_1,test_utility_1,single_family_li,15,0.0,-2777.188338264337,0.0,2777.188338264337,0.0,-1302.1323410924683,0.0,1302.1323410924686,0.0,-421.42978710830727,0.0,421.4297871083073
refrigeration,test_utility_1,test_utility_1,single_family_li,16,0.0,-2808.898658258409,0.0,2808.8986582584093,0.0,-1330.6298361766394,0.0,1330.6298361766396,0.0,-432.46166558361443,0.0,432.4616655836145
refrigeration,test_utility_1,test_utility_1,single_family_li,17,0.0,-2835.294559060628,0.0,2835.294559060629,0.0,-1354.480149602597,0.0,1354.4801496025975,0.0,-441.7087902377235,0.0,441.7087902377235
refrigeration,test_utility_1,test_utility_1,single_family_li,18,0.0,-2857.2666986497625,0.0,2857.266698649764,0.0,-1374.4172806178012,0.0,1374.4172806178017,0.0,-449.4479554037778,0.0,449.4479554037779
