competition_group,electric_utility,gas_utility,building_type,time,total_stock,ret_er_stock,remaining_stock,rob_stock,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,remaining_top10_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,ret_er_top10_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,rob_top10_stock
refrigeration,test_utility_2,test_utility_2,single_family_li,14,47000.0,14100.0,28200.000000000004,4700.0,439.2802312397428,26552.69913285097,658.920346859614,549.1002890496784,400.5393996603486,12597.977251273693,600.809099490523,500.67424957543574,156.34167670620002,4113.71871235175,234.51251505930009,195.42709588275005
refrigeration,test_utility_2,test_utility_2,single_family_li,15,47000.00000000001,14100.0,28200.000000000007,4699.999999999999,366.0668593664524,26827.24927737581,549.1002890496784,457.58357420806533,334.89911298471816,12844.128326307306,502.34866947707735,418.6238912308977,130.84287055571386,4209.339235416072,196.26430583357083,163.55358819464232
refrigeration,test_utility_2,test_utility_2,single_family_li,16,47000.00000000001,14100.0,28200.000000000007,4699.999999999999,305.05571613871035,27056.041064479843,457.58357420806533,381.3196451733878,279.8118970444246,13050.705386083408,419.7178455666369,349.76487130553073,109.40037690834126,4289.74858659372,164.10056536251193,136.75047113542658
refrigeration,test_utility_2,test_utility_2,single_family_li,17,47000.000000000015,14100.0,28200.00000000001,4699.999999999999,254.21309678225865,27246.700887066538,381.3196451733878,317.7663709778232,233.6530587588091,13223.801029654465,350.47958813821367,292.0663234485114,91.4052197011787,4357.230426120579,137.10782955176805,114.25652462647338
refrigeration,test_utility_2,test_utility_2,single_family_li,18,47000.00000000001,14100.000000000002,28200.000000000007,4700.0,211.84424731854887,27405.584072555448,317.7663709778232,264.80530914818604,195.02218118613172,13368.666820552007,292.53327177919755,243.77772648266463,76.32666586121097,4413.775003020459,114.48999879181646,95.40833232651372
refrigeration,test_utility_2,test_utility_2,single_family_li,19,47000.0,14100.000000000002,28200.000000000004,4700.0,176.5368727654574,27537.98672712954,264.80530914818604,220.6710909568217,162.7218662613642,13489.793001519885,244.08279939204627,203.40233282670522,63.70724585413636,4461.097828046989,95.56086878120453,79.63405731767044
whole_home,test_utility_1,test_utility_1,multi_family,0,249.99999999999994,80.55555555555554,161.1111111111111,8.333333333333334,0.0,0.0,161.1111111111111,0.0,0.0,0.0,80.55555555555554,0.0,0.0,0.0,8.333333333333334,0.0
whole_home,test_utility_1,test_utility_1,multi_family,1,249.99999999999997,80.55555555555554,142.59259259259258,26.851851851851848,0.0,8.333333333333334,134.25925925925924,0.0,0.0,1.074074074074074,79.48148148148147,0.0,0.0,0.537037037037037,26.31481481481481,0.0
whole_home,test_utility_1,test_utility_1,multi_family,2,249.99999999999994,77.46913580246913,145.67901234567898,26.851851851851848,0.0,33.79629629629629,111.88271604938271,0.0,0.0,3.164691358024691,74.30444444444443,0.0,0.0,0.887901234567901,25.963950617283945,0.0
whole_home,test_utility_1,test_utility_1,multi_family,3,249.99999999999994,75.92592592592591,148.25102880658434,25.823045267489704,0.0,55.01543209876542,93.23559670781893,0.0,0.0,8.733236213991768,67.19268971193414,0.0,0.0,1.5502600823045265,24.272785185185178,0.0
whole_home,test_utility_1,test_utility_1,multi_family,4,249.99999999999994,75.32578875171465,149.36556927297667,25.308641975308635,0.0,71.66923868312756,77.69633058984911,0.0,0.0,15.887298688614537,59.43849006310012,0.0,0.0,3.3590300027434834,21.94961197256515,0.0
whole_home,test_utility_1,test_utility_1,multi_family,5,250.0,75.11145404663921,149.77994970278922,25.10859625057155,0.0,85.03300754458161,64.7469421582076,0.0,0.0,23.328918773772287,51.78253527286692,0.0,0.0,5.692022829958846,19.416573420612703,0.0
whole_home,test_utility_1,test_utility_1,multi_family,6,250.0,75.03762764822434,149.9252210028959,25.037151348879735,0.0,95.96943587105623,53.95578513183967,0.0,0.0,30.41521424358335,44.62241340464099,0.0,0.0,8.121523159743209,16.915628189136527,0.0
whole_home,test_utility_1,test_utility_1,multi_family,7,250.0,75.01262193263221,149.97483551795966,25.01254254940811,0.0,105.0116812414266,44.96315427653306,0.0,0.0,36.86668098629349,38.145940946338726,0.0,0.0,10.435887503892056,14.576655045516056,0.0
whole_home,test_utility_1,test_utility_1,multi_family,8,249.99999999999997,75.00422054141475,149.9915721477078,25.004207310877405,0.0,112.52227691726361,37.46929523044422,0.0,0.0,42.58834674371794,32.415873797696804,0.0,0.0,12.543199935073421,12.461007375803982,0.0
whole_home,test_utility_1,test_utility_1,multi_family,9,250.0,75.0014090522278,149.99718410063394,25.00140684713825,0.0,118.77277140859708,31.22441269203685,0.0,0.0,47.57815563265852,27.423253419569278,0.0,0.0,14.412221406557293,10.589185440580955,0.0
whole_home,test_utility_1,test_utility_1,multi_family,10,249.99999999999997,75.00047005159084,149.9990602643332,25.00046968407593,0.0,123.97871635430249,26.02034391003071,0.0,0.0,51.87987570213278,23.120594349458067,0.0,0.0,16.042206900349967,8.958262783725964,0.0
whole_home,test_utility_1,test_utility_1,multi_family,11,250.0,75.0001567451161,149.99968657102028,25.00015668386361,0.0,128.31606664599468,21.683619925025592,0.0,0.0,55.557977785131705,19.44217895998439,0.0,0.0,17.447429196373978,7.552727487489634,0.0
whole_home,test_utility_1,test_utility_1,multi_family,12,250.0,75.00005225858078,149.99989549304718,25.00005224837203,0.0,131.93021222219252,18.06968327085466,0.0,0.0,58.68389201722004,16.316160241360734,0.0,0.0,18.64894045477713,6.3511117935949,0.0
whole_home,test_utility_1,test_utility_1,multi_family,13,250.0,75.00001742122838,149.99996515924468,25.000017419526923,0.0,134.9418957668658,15.058069392378885,0.0,0.0,61.32851218506359,13.671505236164789,0.0,0.0,19.670071740682417,5.329945678844506,0.0
whole_home,test_utility_1,test_utility_1,multi_family,14,249.99999999999997,75.00000580735968,149.99998838556417,25.00000580707612,0.0,137.45159722524843,12.548391160315738,0.0,0.0,63.55827748766888,11.44172831969081,0.0,0.0,20.533980763262292,4.466025043813831,0.0
whole_home,test_utility_1,test_utility_1,multi_family,15,249.99999999999997,75.00000193583381,149.9999961283796,25.000001935786564,0.0,139.54300349478314,10.45699263359645,0.0,0.0,65.43334090691653,9.566661028917284,0.0,0.0,21.262370684687564,3.737631251098998,0.0
whole_home,test_utility_1,test_utility_1,multi_family,16,249.99999999999994,75.0000006452858,149.99999870943623,25.000000645277936,0.0,141.28583818143917,8.714160527997041,0.0,0.0,67.00695000079376,7.993050644492034,0.0,0.0,21.874891375831623,3.125109269446313,0.0
whole_home,test_utility_1,test_utility_1,multi_family,17,249.99999999999994,75.00000021509656,149.99999956980812,25.000000215095262,0.0,142.7381991298106,7.261800439997534,0.0,0.0,68.32551370602893,6.674486509067636,0.0,0.0,22.3889370045612,2.6110632105340645,0.0
whole_home,test_utility_1,test_utility_1,multi_family,18,249.99999999999997,75.00000007169906,149.99999985660205,25.000000071698857,0.0,143.94849948993743,6.051500366664612,0.0,0.0,69.42903547910862,5.570964592590444,0.0,0.0,22.819667812070094,2.180332259628761,0.0
whole_home,test_utility_1,test_utility_1,multi_family,19,249.99999999999994,75.0000000238997,149.99999995220054,25.000000023899684,0.0,144.95708297998004,5.04291697222051,0.0,0.0,70.35171976229651,4.648280261603192,0.0,0.0,23.18015159032014,1.819848433579545,0.0
whole_home,test_utility_1,test_utility_1,single_family,0,2499.9999999999995,805.5555555555554,1611.1111111111109,83.33333333333333,0.0,0.0,1611.1111111111109,0.0,0.0,0.0,805.5555555555554,0.0,0.0,0.0,83.33333333333333,0.0
